Dutch name	Database name	ID	0m-1m L	0m-1m U	1m-6m L	1m-6m U	6m-1y L	6m-1y U	1y-2y L	1y-2y U	2y-4y L	2y-4y U	4y-10y L	4y-10y U	10y-18y L	10y-18y U	18y+ L	18y+ U	HMDB
leucine	Leucine	CHEBI:15603	1.9	29.2	0	27.3	1.6	18.6	1.9	17.4	1	14.9	1.3	11.7	1	6	0	6	HMDB0000687
argininobarnsteenzuur	Argininosuccinate	CHEBI:57472	0	13	0	13	0	13	0	14	0	8	0	6.7	0	5	0	4	HMDB0000052
tyrosine	Tyrosine	CHEBI:17895	4	49.8	9.4	90.2	3.8	92.8	6.1	57.2	4.1	57.6	4	36.1	3	24.9	1	18	HMDB0000158
beta-alanine	Beta-alanine	CHEBI:57966	0	12.5	0	12.5	0	7	0	5	0	7	0	5	0	6	0	4.1	HMDB0000056
fenylalanine	Phenylalanine	CHEBI:17295	3	30	0	48.3	2	48.8	6.9	31.3	4	33.9	3	19.4	3	12.9	1.9	10	HMDB0000159
delta-aminolevulinezuur	Aminolevulinic acid	CHEBI:17549	0	8.8	0	5	0	7.1	0	5.1	0	6.9	0	3.7	0	2	0	2	HMDB0001149
beta-amino-isoboterzuur	(S)-Beta-aminoisobutyrate	CHEBI:57731	1	241.2	4	292	0.7	308.9	1.9	250.4	3	277	1	174.9	1	117.5	1	86.8	HMDB0002166
homocystine	Homocystine	CHEBI:89698	0	2.5	0	4.3	0	2	0	3.2	0	1	0	1	0	0.9	0	0	HMDB0000676
gamma-aminoboterzuur	GABA	CHEBI:16865	0	3	0	3	0	3	0	3	0	2	0	1	0	1	0	1	HMDB0000112
ethanolamine	Monoethanolamine	CHEBI:16000	39.9	829.1	56.3	657.3	35.8	114	28.5	137.6	23.2	100.6	26.3	79.5	18	59.8	8	50	HMDB0000149
hydroxylysine	Hydroxylysine	CHEBI:86498	0.9	30.1	0.9	30.1	0	10	0	9.1	0	9	0	6	0	4.9	0	3	HMDB0000450
ornithine	Ornithine	CHEBI:46911	0	44.7	0	30.3	0	20.4	0	24.4	0	9.8	0	6	0	3	0	4	HMDB0000214
lysine	Lysine	CHEBI:18019	12.5	310.4	6.1	190.8	4.1	79.3	4.1	79.3	3	65	3	52.6	2	41.4	1	40.1	HMDB0000182
1-methyl-histidine	1-Methyl-histidine	CHEBI:50599	1.2	68.8	0	24.7	0	97.8	2.8	258	3	282.8	2	259.5	2	276.8	2	202.6	HMDB0000001
histidine	Histidine	CHEBI:15971	28.4	391.5	36.7	526.9	56.5	513.1	46	450.1	33	452.7	22.3	314.8	18.9	249.6	9.9	155.6	HMDB0000177
tryptofaan	Tryptophan	CHEBI:16828	0.5	35.1	4.7	63.5	6	46.3	2.8	36.4	4.1	31.5	3	23.7	2.1	15.9	1	12	HMDB0030396
3-methyl-histidine	3-Methyl-histidine	CHEBI:27596	15.2	97.7	7.8	54.1	10.4	51.9	13.9	52	12	45	12.3	43.7	11	37	10.9	34.1	
anserine	Anserine	CHEBI:18323	0	13.9	0	26.2	0	254	0	226.6	0	169.6	0	55.5	0	58.3	0	17	HMDB0000194
carnosine	Carnosine	CHEBI:15727	3.1	129.4	8.5	238.5	7.1	233.5	6	142.6	1.1	113.8	1	55.3	0	31.1	0	9	HMDB0000033
homocarnosine	Homocarnosine	CHEBI:85981	0	3	0	8	0	19.5	0	19.5	0	6.9	0	3	0	1.9	0	1	HMDB0000745
arginine	Arginine	CHEBI:32682	0	32.3	0	38.3	0	30.4	0	20.2	0	13	0	10	0	7	0	1	HMDB0000517
formimino-L-glutaminezuur	Formiminoglutamic acid	CHEBI:7274	1	13	0	19.3	0	13.4	0.9	10.1	0	6	0	4	0	2	0	3	HMDB0000854
gly-pro	Gly-pro	CHEBI:70744	0	18.8	0	21	0	19.9	0	19.7	0	13	0	10	0	7	0	1	HMDB0000721
N-aspartyl-glucosamine	N-Aspartylglucosamine	CHEBI:17261	0	6.8	0	7	0	7.4	0	8.7	0	4	0	3	0	2	0	2	HMDB0000489
cyshcys			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
piperideine-6-carbonzuur	Piperideine carboxylic acid	CHEBI:49015	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	HMDB0001084
alfa-amino-adipic semialdehyde	a-Aminoadipate semialdehyde	CHEBI:61511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HMDB0001263
ASA_anhydride																			
