Disorder 	OMIM	IEM ID	Test panel	Symptom	Measured in	HMDB	Uniprot	Mapping ChEBI	Neonatal (birth-1mth)	Infancy (1-18mths)	Childhood (1.5-11yrs)	Adolescence (11-16yrs)	Adulthood (>16yrs)	Present in pathway	Characteristic for disorder	Protein_HGNC_name
Citrin deficiency	https://www.omim.org/entry/605814	IEMBASE000018	Enzyme testing	ASAT/ALAT	Plasma		P17174,  P24298	0	n to 1	n to 1	n to 1	n	n	N	0	SLC25A13
Citrin deficiency	https://www.omim.org/entry/605814	IEMBASE000018	Oligosaccharides	Galactose	Urine	HMDB0000143		1	2	1	n	n	n	N	1	SLC25A13
Citrin deficiency	https://www.omim.org/entry/605814	IEMBASE000018	Oligosaccharides	Galactose	Plasma	HMDB0000143		1	1	1	n	n	n	N	0	SLC25A13
Citrin deficiency	https://www.omim.org/entry/605814	IEMBASE000018	Routine tests	Ammonia	Blood	HMDB0000051		1	n to 1	n to 1	n to 1	1	1	Y	0	SLC25A13
Argininosuccinic aciduria	https://www.omim.org/entry/207900	IEMBASE000015	Amino acids	Arginine	Plasma	HMDB0000517		1	-1	-1	-1	-1	-1	Y	1	ASL
Argininosuccinic aciduria	https://www.omim.org/entry/207900	IEMBASE000015	Amino acids	Argininosuccinate	Plasma	HMDB0000052		1	2	2	2	2	2	Y	1	ASL
Argininosuccinic aciduria	https://www.omim.org/entry/207900	IEMBASE000015	Amino acids	Argininosuccinate	Urine	HMDB0000052		1	3	3	3	3	3	Y	1	ASL
Argininosuccinic aciduria	https://www.omim.org/entry/207900	IEMBASE000015	Amino acids	Citrulline	Plasma	HMDB0000904		1	1	1	1	1	1	Y	1	ASL
Argininosuccinic aciduria	https://www.omim.org/entry/207900	IEMBASE000015	Amino acids	Glutamine	Cerebrospinal fluid	HMDB0000641		1	3	3	2	2	2	Y	1	ASL
Argininosuccinic aciduria	https://www.omim.org/entry/207900	IEMBASE000015	Amino acids	Glutamine	Plasma	HMDB0000641		1	2	2	1	1	1	Y	1	ASL
Argininosuccinic aciduria	https://www.omim.org/entry/207900	IEMBASE000015	Enzyme testing	ASAT/ALAT	Plasma		P17174,  P24298	0	n to 1	n to 1	n to 1	n to 1	n to 1	N 	0	ASL
Argininosuccinic aciduria	https://www.omim.org/entry/207900	IEMBASE000015	Purines and pyrimidines	Orotic acid	Urine	HMDB0000226		1	n to 1	n to 1	n to 1	n to 1	n to 1	N	0	ASL
Argininosuccinic aciduria	https://www.omim.org/entry/207900	IEMBASE000015	Routine tests	Ammonia	Blood	HMDB0000051		1	3	3	3	3	3	Y	1	ASL
Argininosuccinic aciduria	https://www.omim.org/entry/207900	IEMBASE000015	Routine tests	Urea	Plasma	HMDB0000294		1	-1 to n	-1 to n	-1 to n	-1 to n	-1 to n	Y	0	ASL
